ParticipantID,Algus,Lõpp,Sugu,Vanus,Haridus,Töötaatus:Õpin,Tööstaatus:Töötan
1,2022-09-04 19:15:05,2022-09-04 20:04:43,Mees,32,Magister või sellega võrdsustatud haridus,1,NA
4,2022-09-16 17:16:46,2022-09-16 21:14:53,Naine,18,Keskharidus,1,NA
5,2022-09-20 17:26:33,2022-09-20 18:08:50,Mees,27,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",NA,1
7,2022-09-21 16:10:33,NA,Naine,40,Magister või sellega võrdsustatud haridus,NA,1
8,2022-09-21 18:38:39,2022-09-21 19:14:02,Naine,43,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",NA,1
9,2022-09-22 08:38:20,2022-09-22 09:12:11,Mees,38,Magister või sellega võrdsustatud haridus,NA,1
10,2022-09-23 14:46:44,2022-09-23 16:36:26,Naine,21,NA,1,NA
11,2022-09-26 23:30:41,2022-10-04 01:59:38,Mees,55,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",NA,1
13,2022-09-29 08:50:18,2022-09-29 10:14:02,Naine,52,Magister või sellega võrdsustatud haridus,NA,1
16,2022-10-04 18:25:43,NA,Naine,21,Kutsekeskharidus või kutseharidus,1,NA
17,2022-10-10 17:38:15,NA,Naine,21,Keskharidus,1,1
20,2022-10-12 14:33:38,2022-10-12 15:50:29,Naine,45,Kutsekeskharidus või kutseharidus,1,1
21,2022-10-12 14:35:01,NA,Naine,29,Magister või sellega võrdsustatud haridus,NA,1
22,2022-10-12 15:20:29,NA,Naine,19,Keskharidus,1,1
23,2022-10-12 16:14:36,2022-10-12 17:14:18,Naine,29,Magister või sellega võrdsustatud haridus,1,NA
24,2022-10-12 16:18:55,2022-10-12 16:46:50,Naine,20,Keskharidus,1,NA
25,2022-10-12 16:46:06,2022-10-12 19:17:31,Naine,29,Doktor või sellega võrdsustatud haridus,1,NA
28,2022-10-12 19:14:56,2022-10-13 12:22:07,Naine,23,Keskharidus,1,1
29,2022-10-12 20:23:58,2022-10-12 21:31:00,Naine,33,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",1,1
30,2022-10-12 20:51:25,2022-10-12 21:22:05,Naine,21,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",1,NA
31,2022-10-13 02:23:33,NA,Naine,39,Magister või sellega võrdsustatud haridus,NA,1
32,2022-10-13 02:39:33,2022-10-13 13:27:57,Naine,39,Magister või sellega võrdsustatud haridus,NA,1
33,2022-10-13 11:39:07,2022-10-13 12:49:57,Muu/ei soovi avaldada,20,Keskharidus,1,NA
34,2022-10-13 12:26:01,2022-10-13 12:54:33,Naine,19,Keskharidus,1,1
35,2022-10-13 13:36:17,2022-10-13 14:35:58,Naine,42,Kutsekeskharidus või kutseharidus,1,NA
36,2022-10-13 17:42:22,2022-10-13 18:34:40,Mees,27,Kutsekeskharidus või kutseharidus,1,1
37,2022-10-13 18:31:38,2022-10-13 18:53:48,Naine,23,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",1,NA
38,2022-10-16 20:06:43,2022-10-16 20:41:40,Naine,19,Keskharidus,1,1
39,2022-10-17 10:51:21,2022-10-17 12:28:24,Mees,20,Keskharidus,1,1
40,2022-10-17 12:30:09,NA,NA,NA,NA,NA,NA
43,2022-10-17 14:35:05,2022-10-17 19:14:15,Mees,42,Magister või sellega võrdsustatud haridus,1,1
44,2022-10-18 11:56:01,2022-10-18 12:20:47,Naine,31,Magister või sellega võrdsustatud haridus,1,NA
45,2022-10-18 12:52:52,2022-10-18 14:04:45,Naine,23,Keskharidus,1,NA
46,2022-10-18 13:09:37,2022-10-18 14:06:39,Naine,36,Keskharidus,1,NA
48,2022-10-20 14:11:32,2022-10-20 15:08:31,Naine,23,Keskharidus,1,NA
49,2022-10-20 15:56:29,2022-10-20 16:26:19,Naine,19,Keskharidus,1,NA
50,2022-10-24 13:06:53,2022-10-24 14:05:01,Mees,21,Keskharidus,1,NA
51,2022-10-24 14:57:57,2022-10-24 15:45:42,Mees,29,Keskharidus,1,1
52,2022-10-25 12:05:33,2022-10-25 12:56:44,Naine,20,Keskharidus,1,1
54,2022-10-25 17:19:46,2022-10-25 18:35:51,Mees,77,Muu (palun täpsusta): TÜ lõpetamata,NA,NA
56,2022-10-25 17:30:55,NA,Naine,22,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",1,1
58,2022-10-25 17:45:58,NA,Naine,17,Põhiharidus,1,NA
59,2022-10-25 18:21:55,2022-10-25 18:48:50,Naine,29,Magister või sellega võrdsustatud haridus,NA,1
60,2022-10-25 18:51:11,NA,Naine,18,Põhiharidus,1,1
62,2022-10-25 19:12:52,NA,Naine,19,Keskharidus,1,NA
63,2022-10-25 19:15:33,NA,Naine,19,Keskharidus,1,NA
64,2022-10-25 19:21:00,NA,Naine,21,Keskharidus,1,NA
65,2022-10-25 19:33:17,NA,Naine,28,Magister või sellega võrdsustatud haridus,NA,1
66,2022-10-25 20:07:44,NA,Naine,23,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",1,NA
67,2022-10-25 20:08:30,NA,Naine,20,Keskharidus,1,NA
68,2022-10-25 20:09:15,2022-10-25 20:56:51,Naine,21,Keskharidus,1,NA
72,2022-10-25 22:08:29,2022-10-25 22:41:12,Mees,48,Magister või sellega võrdsustatud haridus,NA,1
73,2022-10-25 22:43:31,NA,Naine,18,Põhiharidus,1,1
75,2022-10-25 22:45:21,2022-10-25 23:05:39,Naine,20,Keskharidus,1,NA
78,2022-10-26 01:27:55,NA,Naine,18,Põhiharidus,1,NA
80,2022-10-26 08:12:25,2022-10-26 09:42:10,Naine,49,Magister või sellega võrdsustatud haridus,NA,1
81,2022-10-26 10:35:44,2022-10-26 11:28:25,Mees,48,Magister või sellega võrdsustatud haridus,NA,1
85,2022-10-26 16:37:58,NA,Naine,43,Magister või sellega võrdsustatud haridus,NA,1
86,2022-10-26 20:03:37,2022-10-26 20:35:02,Naine,23,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",NA,1
87,2022-10-26 22:43:08,2022-10-26 23:43:26,Naine,22,Keskharidus,1,NA
88,2022-10-26 22:57:04,NA,Naine,20,Kutsekeskharidus või kutseharidus,1,NA
92,2022-10-27 16:06:20,2022-10-27 16:39:17,Mees,21,Keskharidus,1,1
93,2022-10-27 17:01:12,NA,Naine,39,Magister või sellega võrdsustatud haridus,1,1
94,2022-10-28 15:50:21,2022-10-28 16:27:37,Naine,21,Keskharidus,1,NA
96,2022-10-30 14:52:30,2022-10-30 15:36:04,Naine,20,Keskharidus,1,NA
97,2022-10-30 15:14:11,2022-10-30 16:43:50,Naine,73,Magister või sellega võrdsustatud haridus,NA,NA
