KaemusID,KaemusJrk,Valence,Arousal,Emotion1,Intensity1,Emotion2,Intensity2,Natural,KaemusParticipant,VideoID,EmotionID,Condition,ParticipantID
44592,140,1,3,Hirm,4,Kurbus,4,3,1_002,1551_062m20ee_os_8_0062,Neutraalne,Ekman,062m20ee
44613,790,2,2,Hirm,2,Üllatus,3,0,1_002,1551_062m20ee_os_9_0022,Üllatus,Ekman,062m20ee
44998,484,3,4,Kurbus,3,Vastikus,4,0,1_002,1551_062m20ee_os_10_0032,Kurbus,Ekman,062m20ee
45007,340,3,2,Hirm,5,Kurbus,2,3,1_002,1551_062m20ee_os_11_0042,Viha,Ekman,062m20ee
45016,388,3,3,Hirm,4,Üllatus,3,3,1_002,1551_062m20ee_os_12_0072,Rõõm,Ekman,062m20ee
45025,732,2,1,Hirm,2,Üllatus,1,1,1_002,1551_062m20ee_os_13_0052,Hirm,Ekman,062m20ee
45034,436,1,2,Hirm,5,Vastikus,5,3,1_002,1551_062m20ee_os_14_0012,Vastikus,Ekman,062m20ee
45043,644,2,3,Hirm,4,Vastikus,4,4,1_002,1551_062m20ee_os_162_1032,Kurbus,Under,062m20ee
45052,564,2,1,Hirm,4,Vastikus,4,3,1_002,1551_062m20ee_os_163_1062,Neutraalne,Under,062m20ee
45061,612,2,2,Hirm,3,Vastikus,4,3,1_002,1551_062m20ee_os_164_1072,Rõõm,Under,062m20ee
45070,532,3,1,Hirm,3,Vastikus,3,4,1_002,1551_062m20ee_os_165_1012,Vastikus,Under,062m20ee
45079,356,2,2,Hirm,5,Vastikus,1,4,1_002,1551_062m20ee_os_166_1022,Üllatus,Under,062m20ee
45088,460,2,2,Vastikus,4,Hirm,4,4,1_002,1551_062m20ee_os_167_1042,Viha,Under,062m20ee
45097,724,2,2,Hirm,4,NA,4,5,1_002,1551_062m20ee_os_168_1052,Hirm,Under,062m20ee
45106,764,2,3,Kurbus,3,Hirm,3,1,1_002,1613_117f21ee_us_8_0046,Viha,Ekman,117f21ee
45117,226,1,3,Kurbus,3,Üllatus,3,2,1_002,1613_117f21ee_us_9_0056,Hirm,Ekman,117f21ee
45126,282,0,3,Kurbus,5,Hirm,4,4,1_002,1613_117f21ee_us_10_0026,Üllatus,Ekman,117f21ee
45135,210,0,3,Kurbus,4,Hirm,4,3,1_002,1613_117f21ee_us_11_0066,Neutraalne,Ekman,117f21ee
45144,636,3,4,Kurbus,3,Üllatus,4,2,1_002,1613_117f21ee_us_12_0076,Rõõm,Ekman,117f21ee
45153,274,1,3,Kurbus,4,Vastikus,5,0,1_002,1613_117f21ee_us_13_0016,Vastikus,Ekman,117f21ee
45162,372,1,3,Kurbus,2,Hirm,4,1,1_002,1613_117f21ee_us_14_0036,Kurbus,Ekman,117f21ee
45171,266,0,6,Vastikus,5,Hirm,3,5,1_002,1613_117f21ee_us_92_1042,Viha,Under,117f21ee
45180,604,2,3,Kurbus,3,Hirm,4,3,1_002,1613_117f21ee_us_93_1062,Neutraalne,Under,117f21ee
45189,404,2,2,Kurbus,4,Hirm,4,5,1_002,1613_117f21ee_us_94_1052,Hirm,Under,117f21ee
45198,396,3,3,Kurbus,3,Hirm,4,4,1_002,1613_117f21ee_us_95_1072,Rõõm,Under,117f21ee
45207,428,1,2,Kurbus,3,Hirm,4,4,1_002,1613_117f21ee_us_96_1012,Vastikus,Under,117f21ee
45216,516,3,2,Hirm,4,Üllatus,1,4,1_002,1613_117f21ee_us_97_1022,Üllatus,Under,117f21ee
45875,192,2,2,Hirm,3,Üllatus,0,2,1_002,1356_010f26ee_os_8_0013,Vastikus,Ekman,010f26ee
45886,218,2,2,Hirm,2,Vastikus,2,2,1_002,1356_010f26ee_os_9_0053,Hirm,Ekman,010f26ee
45895,798,2,2,Hirm,4,Vastikus,4,2,1_002,1356_010f26ee_os_10_0073,Rõõm,Ekman,010f26ee
45904,64,3,1,Üllatus,1,Hirm,1,1,1_002,1356_010f26ee_os_11_0023,Üllatus,Ekman,010f26ee
45913,580,3,3,Hirm,3,Üllatus,3,4,1_002,1356_010f26ee_os_12_0033,Kurbus,Ekman,010f26ee
45922,508,2,3,Hirm,4,Kurbus,4,4,1_002,1356_010f26ee_os_13_0043,Viha,Ekman,010f26ee
45931,540,2,NA,Hirm,3,Vastikus,3,3,1_002,1356_010f26ee_os_14_0063,Neutraalne,Ekman,010f26ee
45940,806,1,3,Hirm,4,Vastikus,4,5,1_002,1356_010f26ee_os_162_1062,Neutraalne,Under,010f26ee
45949,782,2,2,Hirm,4,Kurbus,1,3,1_002,1356_010f26ee_os_163_1042,Viha,Under,010f26ee
45958,420,0,3,Hirm,5,Vastikus,5,5,1_002,1356_010f26ee_os_164_1012,Vastikus,Under,010f26ee
45967,24,0,6,Hirm,4,Vastikus,6,6,1_002,1356_010f26ee_os_165_1072,Rõõm,Under,010f26ee
45976,774,2,1,Vastikus,3,Viha,1,3,1_002,1356_010f26ee_os_166_1032,Kurbus,Under,010f26ee
