KaemusID,Emotion1_A,KaemusParticipant,Emotion_T,Condition,VideoParticpant,Hit
44592,Hirm,1_002,Neutraalne,Ekman,062m20ee,0
44613,Hirm,1_002,Üllatus,Ekman,062m20ee,0
44998,Kurbus,1_002,Kurbus,Ekman,062m20ee,1
45007,Hirm,1_002,Viha,Ekman,062m20ee,0
45016,Hirm,1_002,Rõõm,Ekman,062m20ee,0
45025,Hirm,1_002,Hirm,Ekman,062m20ee,1
45034,Hirm,1_002,Vastikus,Ekman,062m20ee,0
45043,Hirm,1_002,Kurbus,Under,062m20ee,0
45052,Hirm,1_002,Neutraalne,Under,062m20ee,0
45061,Hirm,1_002,Rõõm,Under,062m20ee,0
45070,Hirm,1_002,Vastikus,Under,062m20ee,0
45079,Hirm,1_002,Üllatus,Under,062m20ee,0
45088,Vastikus,1_002,Viha,Under,062m20ee,0
45097,Hirm,1_002,Hirm,Under,062m20ee,1
45106,Kurbus,1_002,Viha,Ekman,117f21ee,0
45117,Kurbus,1_002,Hirm,Ekman,117f21ee,0
45126,Kurbus,1_002,Üllatus,Ekman,117f21ee,0
45135,Kurbus,1_002,Neutraalne,Ekman,117f21ee,0
45144,Kurbus,1_002,Rõõm,Ekman,117f21ee,0
45153,Kurbus,1_002,Vastikus,Ekman,117f21ee,0
45162,Kurbus,1_002,Kurbus,Ekman,117f21ee,1
45171,Vastikus,1_002,Viha,Under,117f21ee,0
45180,Kurbus,1_002,Neutraalne,Under,117f21ee,0
45189,Kurbus,1_002,Hirm,Under,117f21ee,0
45198,Kurbus,1_002,Rõõm,Under,117f21ee,0
45207,Kurbus,1_002,Vastikus,Under,117f21ee,0
45216,Hirm,1_002,Üllatus,Under,117f21ee,0
45875,Hirm,1_002,Vastikus,Ekman,010f26ee,0
45886,Hirm,1_002,Hirm,Ekman,010f26ee,1
45895,Hirm,1_002,Rõõm,Ekman,010f26ee,0
45904,Üllatus,1_002,Üllatus,Ekman,010f26ee,1
45913,Hirm,1_002,Kurbus,Ekman,010f26ee,0
45922,Hirm,1_002,Viha,Ekman,010f26ee,0
45931,Hirm,1_002,Neutraalne,Ekman,010f26ee,0
45940,Hirm,1_002,Neutraalne,Under,010f26ee,0
45949,Hirm,1_002,Viha,Under,010f26ee,0
45958,Hirm,1_002,Vastikus,Under,010f26ee,0
45967,Hirm,1_002,Rõõm,Under,010f26ee,0
45976,Vastikus,1_002,Kurbus,Under,010f26ee,0
45985,Vastikus,1_002,Üllatus,Under,010f26ee,0
45994,Hirm,1_002,Hirm,Under,010f26ee,1
46003,Kurbus,1_002,Neutraalne,Ekman,039f20ee,0
46014,Üllatus,1_002,Rõõm,Ekman,039f20ee,0
46023,Hirm,1_002,Hirm,Ekman,039f20ee,1
46032,Vastikus,1_002,Üllatus,Ekman,039f20ee,0
46041,Hirm,1_002,Kurbus,Ekman,039f20ee,0
46050,Hirm,1_002,Vastikus,Ekman,039f20ee,0
46059,Hirm,1_002,Viha,Ekman,039f20ee,0
46068,Hirm,1_002,Viha,Under,039f20ee,0
46077,Hirm,1_002,Rõõm,Under,039f20ee,0
46086,Hirm,1_002,Kurbus,Under,039f20ee,0
46095,Hirm,1_002,Hirm,Under,039f20ee,1
46104,Hirm,1_002,Üllatus,Under,039f20ee,0
46113,Viha,1_002,Vastikus,Under,039f20ee,0
46122,Hirm,1_002,Neutraalne,Under,039f20ee,0
46131,Kurbus,1_002,Vastikus,Ekman,017f27ee,0
46142,Kurbus,1_002,Hirm,Ekman,017f27ee,0
46151,Kurbus,1_002,Rõõm,Ekman,017f27ee,0
46160,Hirm,1_002,Üllatus,Ekman,017f27ee,0
46169,Kurbus,1_002,Kurbus,Ekman,017f27ee,1
46178,Kurbus,1_002,Viha,Ekman,017f27ee,0
46187,Kurbus,1_002,Neutraalne,Ekman,017f27ee,0
46196,Viha,1_002,Neutraalne,Under,017f27ee,0
46205,Hirm,1_002,Viha,Under,017f27ee,0
46214,Vastikus,1_002,Vastikus,Under,017f27ee,1
46223,Kurbus,1_002,Rõõm,Under,017f27ee,0
46232,Kurbus,1_002,Kurbus,Under,017f27ee,1
46241,Kurbus,1_002,Üllatus,Under,017f27ee,0
46250,Hirm,1_002,Hirm,Under,017f27ee,1
46259,Kurbus,1_002,Vastikus,Ekman,016m49ee,0
46270,Kurbus,1_002,Hirm,Ekman,016m49ee,0
46279,Hirm,1_002,Rõõm,Ekman,016m49ee,0
46288,Vastikus,1_002,Üllatus,Ekman,016m49ee,0
46297,Vastikus,1_002,Kurbus,Ekman,016m49ee,0
46306,Hirm,1_002,Viha,Ekman,016m49ee,0
46315,Kurbus,1_002,Neutraalne,Ekman,016m49ee,0
46324,Kurbus,1_002,Neutraalne,Under,016m49ee,0
46333,Hirm,1_002,Viha,Under,016m49ee,0
46342,Kurbus,1_002,Vastikus,Under,016m49ee,0
46360,Kurbus,1_002,Kurbus,Under,016m49ee,1
46369,Kurbus,1_002,Üllatus,Under,016m49ee,0
46378,Kurbus,1_002,Hirm,Under,016m49ee,0
46387,Vastikus,1_002,Viha,Ekman,041m23ee,0
46398,Hirm,1_002,Kurbus,Ekman,041m23ee,0
46407,Kurbus,1_002,Vastikus,Ekman,041m23ee,0
46416,Üllatus,1_002,Neutraalne,Ekman,041m23ee,0
46425,Hirm,1_002,Hirm,Ekman,041m23ee,1
46434,Hirm,1_002,Rõõm,Ekman,041m23ee,0
46443,Vastikus,1_002,Üllatus,Ekman,041m23ee,0
46452,Vastikus,1_002,Neutraalne,Under,041m23ee,0
46461,Hirm,1_002,Rõõm,Under,041m23ee,0
46470,Hirm,1_002,Vastikus,Under,041m23ee,0
46479,Vastikus,1_002,Üllatus,Under,041m23ee,0
46488,Vastikus,1_002,Viha,Under,041m23ee,0
46497,Vastikus,1_002,Hirm,Under,041m23ee,0
46506,Hirm,1_002,Kurbus,Under,041m23ee,0
44592,Üllatus,10_002,Neutraalne,Ekman,062m20ee,0
44613,Üllatus,10_002,Üllatus,Ekman,062m20ee,1
44998,Kurbus,10_002,Kurbus,Ekman,062m20ee,1
45007,Üllatus,10_002,Viha,Ekman,062m20ee,0
45016,Rõõm,10_002,Rõõm,Ekman,062m20ee,1
45025,Üllatus,10_002,Hirm,Ekman,062m20ee,0
45034,Üllatus,10_002,Vastikus,Ekman,062m20ee,0
45043,Vastikus,10_002,Kurbus,Under,062m20ee,0
45052,Kurbus,10_002,Neutraalne,Under,062m20ee,0
45061,Kurbus,10_002,Rõõm,Under,062m20ee,0
45070,Hirm,10_002,Vastikus,Under,062m20ee,0
45079,Kurbus,10_002,Üllatus,Under,062m20ee,0
45088,Kurbus,10_002,Viha,Under,062m20ee,0
45097,Viha,10_002,Hirm,Under,062m20ee,0
45106,Viha,10_002,Viha,Ekman,117f21ee,1
45117,Üllatus,10_002,Hirm,Ekman,117f21ee,0
45126,Rõõm,10_002,Üllatus,Ekman,117f21ee,0
45135,Kurbus,10_002,Neutraalne,Ekman,117f21ee,0
45144,Rõõm,10_002,Rõõm,Ekman,117f21ee,1
